route,point,territory,house,route_id
114,Barishal,Barishal-1,M/S BARISHAL J AHMED & CO.,689
114,Bhola,Bhola,A. Rahman & Sons,690
114,Patuakhali,Patuakhali,Hajee & Sons,691
114,Faridpur (KHU),Faridpur,AKHTER ENTERPRISE,692
114,Gopalganj,Madaripur,Kazi Sayed Ali,693
114,Madaripur,Madaripur,M/S Tarik Ahmed Dipu (Madaripur),694
114,Rajbari,Rajbari,M/S Tarik Ahmed Dipu (Rajbari),695
114,Ullahpara,Bogura-2,Mr Brothers,696
114,Gaibandha,Gaibandha,M/S. Spectrum Trading Corporation,697
114,Thakurgaon,Thakurgaon,Moulovi Brothers,698
114,Choran,Rangpur,"Shaireen Enterprise, Rangpur",699
115,Kotwali,Kotwali (DHK),Alam Corporation Ltd.,700
115,Sutrapur,Sutrapur,Sales Promotion Service,701
115,Dhanmondi,Dhanmondi,The Jamal & Co - Dhanmondi,702
115,DEPZ,DEPZ,"Agrani Trading Company Ltd, Savar",703
115,Tangail,Tangail,"Agrani Trading Company Ltd, Tangail",704
115,Sector-4,Uttara,Azahar Trading Ltd.,705
115,Joydebpur,Joydebpur,M/S. A.M.I & Company,706
115,Hathazari,Rangamati,Zawad Enterprise,707
115,Chambol,Patiya,MAQ Distribution,708
115,Shaharasti,Cumilla-2,"M/S. Abdul Latif Chowdhury, Chandpur",709
115,Laxmipur,Laxmipur,M/S Sanjib Mazumder,710
115,B. Baria,B. Baria,ADL B.BARIA,711
115,Habiganj,Habiganj,ADL Habiganj,712
115,Moulvibazar (SYL),Moulvibazar,MBKB Ltd (Moulvibazar),713
115,Mymensingh,Mymensingh 1,Noor Sons,714
115,Netrokona,Netrokona,Shashi Mohan Roy,715
115,Sherpur (SYL),Sherpur,Amin Distribution Company Ltd.,716
115,Bhairab,Bhairab,"J R Corporation Limited, Bhairab",717
115,Kishoreganj (SYL),Kishoreganj,M. Islam Trade Co. Ltd.,718
115,Narsingdi-1,Narsingdi 1,"J R Corporation Limited, Narsingdi",719
115,Sunamganj,Sunamganj,Moula Baksh Karim Boksh,720
115,Akhalia,Sylhet Metro 2,Moula Baksh Karim Boksh Ltd.,721
115,Jashore Sadar,Jashore-1,M/S Azizur Rahman,722
115,Satkhira Sadar,Satkhira,M/S Sheikh Brothers,723
115,Chuadanga,Chuadanga,Desh Trade Link,724
115,Jhenaidah,Jhenaidah,Sanaullah Traders,725
115,Kushtia,Kushtia,Joarder Traders,726
115,Magura,Magura,Akram Enterprise,727
115,Barishal,Barishal-1,M/S BARISHAL J AHMED & CO.,728
115,Bhola,Bhola,A. Rahman & Sons,729
115,Patuakhali,Patuakhali,Hajee & Sons,730
115,Faridpur (KHU),Faridpur,AKHTER ENTERPRISE,731
115,Gopalganj,Madaripur,Kazi Sayed Ali,732
115,Madaripur,Madaripur,M/S Tarik Ahmed Dipu (Madaripur),733
115,Rajbari,Rajbari,M/S Tarik Ahmed Dipu (Rajbari),734
115,Ullahpara,Bogura-2,Mr Brothers,735
115,Gaibandha,Gaibandha,M/S. Spectrum Trading Corporation,736
115,Thakurgaon,Thakurgaon,Moulovi Brothers,737
115,Choran,Rangpur,"Shaireen Enterprise, Rangpur",738
116,Kotwali,Kotwali (DHK),Alam Corporation Ltd.,739
116,Sutrapur,Sutrapur,Sales Promotion Service,740
116,Dhanmondi,Dhanmondi,The Jamal & Co - Dhanmondi,741
116,DEPZ,DEPZ,"Agrani Trading Company Ltd, Savar",742
116,Tangail,Tangail,"Agrani Trading Company Ltd, Tangail",743
116,Sector-4,Uttara,Azahar Trading Ltd.,744
116,Joydebpur,Joydebpur,M/S. A.M.I & Company,745
116,Hathazari,Rangamati,Zawad Enterprise,746
116,Chambol,Patiya,MAQ Distribution,747
116,Shaharasti,Cumilla-2,"M/S. Abdul Latif Chowdhury, Chandpur",748
116,Laxmipur,Laxmipur,M/S Sanjib Mazumder,749
116,B. Baria,B. Baria,ADL B.BARIA,750
116,Mymensingh,Mymensingh 1,Noor Sons,751
116,Netrokona,Netrokona,Shashi Mohan Roy,752
116,Sherpur (SYL),Sherpur,Amin Distribution Company Ltd.,753
116,Bhairab,Bhairab,"J R Corporation Limited, Bhairab",754
116,Kishoreganj (SYL),Kishoreganj,M. Islam Trade Co. Ltd.,755
116,Narsingdi-1,Narsingdi 1,"J R Corporation Limited, Narsingdi",756
116,Sunamganj,Sunamganj,Moula Baksh Karim Boksh,757
116,Akhalia,Sylhet Metro 2,Moula Baksh Karim Boksh Ltd.,758
116,Jashore Sadar,Jashore-1,M/S Azizur Rahman,759
116,Satkhira Sadar,Satkhira,M/S Sheikh Brothers,760
116,Chuadanga,Chuadanga,Desh Trade Link,761
116,Jhenaidah,Jhenaidah,Sanaullah Traders,762
116,Kushtia,Kushtia,Joarder Traders,763
116,Magura,Magura,Akram Enterprise,764
116,Barishal,Barishal-1,M/S BARISHAL J AHMED & CO.,765
116,Bhola,Bhola,A. Rahman & Sons,766
116,Patuakhali,Patuakhali,Hajee & Sons,767
116,Faridpur (KHU),Faridpur,AKHTER ENTERPRISE,768
116,Gopalganj,Madaripur,Kazi Sayed Ali,769
116,Madaripur,Madaripur,M/S Tarik Ahmed Dipu (Madaripur),770
116,Rajbari,Rajbari,M/S Tarik Ahmed Dipu (Rajbari),771
116,Ullahpara,Bogura-2,Mr Brothers,772
116,Gaibandha,Gaibandha,M/S. Spectrum Trading Corporation,773
116,Thakurgaon,Thakurgaon,Moulovi Brothers,774
117,Kotwali,Kotwali (DHK),Alam Corporation Ltd.,775
117,Sutrapur,Sutrapur,Sales Promotion Service,776
117,Dhanmondi,Dhanmondi,The Jamal & Co - Dhanmondi,777
117,DEPZ,DEPZ,"Agrani Trading Company Ltd, Savar",778
117,Tangail,Tangail,"Agrani Trading Company Ltd, Tangail",779
117,Sector-4,Uttara,Azahar Trading Ltd.,780
117,Joydebpur,Joydebpur,M/S. A.M.I & Company,781
117,Hathazari,Rangamati,Zawad Enterprise,782
117,Companiganj (CU),Cumilla-1,M/S Rupali Traders,783
117,Shaharasti,Cumilla-2,"M/S. Abdul Latif Chowdhury, Chandpur",784
117,Laxmipur,Laxmipur,M/S Sanjib Mazumder,785
117,B. Baria,B. Baria,ADL B.BARIA,786
117,Mymensingh,Mymensingh 1,Noor Sons,787
117,Netrokona,Netrokona,Shashi Mohan Roy,788
117,Sherpur (SYL),Sherpur,Amin Distribution Company Ltd.,789
