route,point,territory,house,route_id
102,DEPZ,DEPZ,"Agrani Trading Company Ltd, Savar",134
102,Tangail,Tangail,"Agrani Trading Company Ltd, Tangail",135
102,Sector-4,Uttara,Azahar Trading Ltd.,136
102,Joydebpur,Joydebpur,M/S. A.M.I & Company,137
102,Kaptai,Bayezid,Zawad Enterprise,138
102,Banshkhali,Patiya,MAQ Distribution,139
102,Shaharasti,Cumilla-2,"M/S. Abdul Latif Chowdhury, Chandpur",140
102,Senbag,Feni-2,Rokeya & Sons,141
102,Laxmipur,Laxmipur,M/S Sanjib Mazumder,142
102,B. Baria,B. Baria,ADL B.BARIA,143
102,Habiganj,Habiganj,ADL Habiganj,144
102,Moulvibazar (SYL),Moulvibazar,MBKB Ltd (Moulvibazar),145
102,Mymensingh,Mymensingh 1,Noor Sons,146
102,Netrokona,Netrokona,Shashi Mohan Roy,147
102,Sherpur (SYL),Sherpur,Amin Distribution Company Ltd.,148
102,Bhairab,Bhairab,"J R Corporation Limited, Bhairab",149
102,Kishoreganj (SYL),Kishoreganj,M. Islam Trade Co. Ltd.,150
102,Narsingdi-1,Narsingdi 1,"J R Corporation Limited, Narsingdi",151
102,Sunamganj,Sunamganj,Moula Baksh Karim Boksh,152
102,Akhalia,Sylhet Metro 2,Moula Baksh Karim Boksh Ltd.,153
102,Jashore Sadar,Jashore-1,M/S Azizur Rahman,154
102,Dumuria,Khulna Metro-1,Rafiq Enterprise,155
102,Satkhira Sadar,Satkhira,M/S Sheikh Brothers,156
102,Chuadanga,Chuadanga,Desh Trade Link,157
102,Jhenaidah,Jhenaidah,Sanaullah Traders,158
102,Kushtia,Kushtia,Joarder Traders,159
102,Magura,Magura,Akram Enterprise,160
102,Barguna,Barguna,"Hajee & Sons, Barguna",161
102,Barishal,Barishal-1,M/S BARISHAL J AHMED & CO.,162
102,Bhola,Bhola,A. Rahman & Sons,163
